Journal,Discipline,,,,,,,,,,,,,,,,,,,,,,,,
A Matter of Spirit: Journal of the Intercommunity Justice and Peace Center,social science,,,,,,,,,,,,,,,,,,,,,,,,
"Acta Ecologica Sinica
",ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Complex Systems,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Infectious Diseases,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCES IN MARINE BIOLOGY,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Water Resources,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture and Human Values,ses,,,,,,,,,,,,,,,,,,,,,,,,
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,ag,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Ecosystems, and Environment",ag,,,,,,,,,,,,,,,,,,,,,,,,
Agronomy,ag,,,,,,,,,,,,,,,,,,,,,,,,
Ambio,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
American Antiquity,humanities,,,,,,,,,,,,,,,,,,,,,,,,
American Fisheries Society,ses,,,,,,,,,,,,,,,,,,,,,,,,
American Fisheries Society Symposium,ses,,,,,,,,,,,,,,,,,,,,,,,,
American Journal Agricultural Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
American Journal of Tropical Medicine and Hygiene,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
American Naturalist,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
American Prospect,social science,,,,,,,,,,,,,,,,,,,,,,,,
ANIMAL BEHAVIOUR,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Animal Feed Science and Technology,ag,,,,,,,,,,,,,,,,,,,,,,,,
Annals of Botany,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Annals of Glaciology,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Annals of the Association of American Geographers,geography,,,,,,,,,,,,,,,,,,,,,,,,
Annals of the New York Academy of Sciences,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Meetings of the Population Association of America, Los Angeles",social science,,,,,,,,,,,,,,,,,,,,,,,,
Annual Review of Environment and Resources,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Anthropology News,humanities,,,,,,,,,,,,,,,,,,,,,,,,
Applied Geochemistry,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Applied Geography,geography,,,,,,,,,,,,,,,,,,,,,,,,
Aquaculture Research,ag,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Mammals,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Archiv für Hydrobiologie,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Law Review,law,,,,,,,,,,,,,,,,,,,,,,,,
Atmos. Ocean,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Auk,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Agricultural and Resource Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
Automatica,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Biogeochemistry,biogeochemistry,,,,,,,,,,,,,,,,,,,,,,,,
Biogeosciences,biogeochemistry,,,,,,,,,,,,,,,,,,,,,,,,
Biological Conservation,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Biological Sciences,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Biology Letters,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
BIOSCIENCE,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
BioScience,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Biotropica,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
