Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.3490857,1358861,Armed conflict and fisheries in the Lake Victoria basin,2019,S. Glaser et al. ,Ecology and Society,,2,1,4,19-Mar-20,"Civil conflict is the most prevalent form of armed conflict in the world today, but this significant driver of food and income security has been largely missing from studies of fisheries. Fisheries conflict is an example of complex dynamics operating in social-ecological systems. We theorize and document the existence of such a feedback loop between conflict in Uganda and fisheries in Lake Victoria. Civil war in northern Uganda resulted in mass human population displacement, which corresponded in time with increases in fishing effort in Lake Victoria. Subsequent changes in catch of Nile perch, the dominant commercial fishery, sparked armed conflict in the lake itself, at Migingo Island, between Uganda and Kenya. From this case study, we draw seven main conclusions. First, these correlation-based relationships are illustrative but not conclusive and we call for further empirical investigation. Second, the couplings between conflict and fishing subsystems are spatially asymmetric: conflict effects are diffuse in their links to broad changes in the fishery, whereas fishery effects may produce more localized conflict events. Third, and most relevant to conflict scholars, the drivers of fishing effort and catch may originate in different subsystems, but their changes and effects must be analyzed in concert. Fourth, the complex and path-dependent impacts of conflicts on natural resources in general, and fisheries in particular, highlights the urgent need for targeted surveys and more mechanistic understanding. Fifth, the open access nature of fisheries in Lake Victoria may exacerbate instabilities not present in other systems. Sixth, the diffuse and context-specific effects of conflicts on fisheries means models of fisheries management (e.g., stock assessment) should not incorporate conflict as a driver at this time. Finally, countries and their stakeholders should focus on diversification in employment for short term coping mechanisms during conflict as a means of shortcircuiting the conflict-fisheries feedback loop.",
grant.3485515,1311594,"Understanding the causes and consequences of differential decision-making in adaptation research: Adapting to a delayed monsoon onset in Gujarat, India",2015,M. Jain et al. ,Global Environmental Change,,2,1,70,19-Mar-20,"Weather variability poses numerous risks to agricultural communities, yet farmers may be able to reduce some of these risks by adapting their cropping practices to better suit changes in weather. However, not all farmers respond to weather variability in the same way. To better identify the causes and consequences of this heterogeneous decision-making, we develop a framework that identifies (1) which socio-economic and biophysical factors are associated with heterogeneous cropping decisions in response to weather variability and (2) which cropping strategies are the most adaptive, considering economic outcomes (e.g., yields and profits). This framework aims to understand how, why, and how effectively farmers adapt to current weather variability; these findings, in turn, may contribute to a more mechanistic and predictive understanding of individual-level adaptation to future climate variability and change. To illustrate this framework, we assessed how 779 farmers responded to delayed monsoon onset in fifteen villages in Gujarat, India during the 2011 growing season, when the monsoon onset was delayed by three weeks. We found that farmers adopted a variety of strategies to cope with delayed monsoon onset, including increasing irrigation use, switching to more drought-tolerant crops, and/or delaying sowing. We found that farmers’ access to and choice of strategies varied with their assets, irrigation access, perceptions of weather, and risk aversion. Richer farmers with more irrigation access used high levels of irrigation, and this strategy was associated with the highest yields in our survey sample. Poorer farmers with less secure access to irrigation were more likely to push back planting dates or switch crop type, and economic data suggest that these strategies were beneficial for those who did not have secure access to irrigation. Interestingly, after controlling for assets and irrigation access, we found that cognitive factors, such as beliefs that the monsoon onset date had changed over the last 20 years or risk aversion, were associated with increased adaptation. Our framework illustrates the importance of considering the complexity and heterogeneity of individual decision-making when conducting climate impact assessments or when developing policies to enhance the adaptive capacity of local communities to future climate variability and change.",
grant.3487455,1325466,"Retreating marsh shoreline creates hotspots of high-marsh plant diversity
                
    
    ",2019,T. Elsey-Quirk et al. ,Scientific Reports,,3,3,2,19-Mar-20,"Marsh edge retreat by wave erosion, an ubiquitous process along estuaries, could affect vegetation dynamics in ways that differ from well-established elevation-driven interactions. Along the marshes of Delaware Bay (USA) we show that species composition from marsh edge to interior is driven by gradients in wave stress, bed elevation, and sediment deposition. At the marsh edge, large wave stress allows only short-statured species. Approximately 17m landward, decreasing wave stress and increasing deposition cause the formation of a ridge. There, high marsh fugitive and shrub species prevails. Both the marsh edge and the ridge retreat synchronously by several meters per year causing wave energy and deposition to change rapidly. Yet, the whole ecogeomorphologic profile translates landward in a dynamic equilibrium, where the low marsh replaces the high marsh ridge community and the high marsh ridge community replaces the mid-marsh grasses on the marsh plain. A plant competition model shows that the disturbances associated with sediment deposition are necessary for the high marsh species to outcompete the mid-marsh grasses during rapid transgression. Marsh retreat creates a moving framework of physical gradients and disturbances that promote the co-existence of over ten different species adjacent to the marsh edge in an otherwise species-poor landscape.",
grant.3118975,1038916,Individual versus group responses for non-market public goods,2018,C. Broadbent et al. ,The Social Science Journal,,3,3,0,19-Mar-20,"Stated preference methods have been used to value non-market public goods but questions remain about their incentive compatibility. A public goods referendum has proven to be incentive compatible for the more popular contingent valuation method. For attribute based choices, the choice experimental method values goods and services by attribute levels producing marginal values for the economic good. A referendum procedure has been proposed for this attribute based method but it is unclear how its use impacts participant choices. This research develops a controlled laboratory experiment eliciting individual and group responses for two non-market public goods using a referendum format for attribute based choice experiments. Results of the experiments find that a majority referendum rule induces individuals to form responses based upon group perceptions which may lead to non-truthful preference revelation.",
grant.3118945,1038651,A climate change projection for summer hydrologica conditions in a semiarid watershed of central Arizona,2015,G.A. Hawkins,Journal of Arid Environments,,3,3,16,19-Mar-20,"Potential climate change impacts on summer precipitation and subsequent hydrologic responses in the southwestern U.S. are poorly constrained at present due to a lack of studies accounting for high resolution processes. In this investigation, we apply a distributed hydrologic model to the Beaver Creek watershed of central Arizona to explore its utility for climate change assessments. Manual model calibration and model validation were performed using radar-based precipitation data during three summers and compared to two alternative meteorological products to illustrate the sensitivity of the streamflow response. Using the calibrated and validated model, we investigated the watershed response during historical (1990–2000) and future (2031–2040) summer projections derived from a single realization of a mesoscale model forced with boundary conditions from a general circulation model under a high emissions scenario. Results indicate spatially-averaged changes across the two projections: an increase in air temperature of 1.2 °C, a 2.4-fold increase in precipitation amount and a 3-fold increase in variability, and a 3.1-fold increase in streamflow amount and a 5.1-fold increase in variability. Nevertheless, relatively minor changes were obtained in spatially-averaged evapotranspiration. To explain this, we used the simulated hydroclimatological mechanisms to identify that higher precipitation limits radiation through cloud cover leading to lower evapotranspiration in regions with orographic effects. This challenges conventional wisdom on evapotranspiration trends and suggest that a more nuanced approach is needed to communicate hydrologic vulnerability to stakeholders and decision-makers in this semiarid region.",
grant.3061101,527587,Reducing nitrogen fertilzer application as a climate change mitigation strategy: Understanding farmer decision-making and potential barriers to change in the US,2014,D. Stuart et al. ,Land Use Policy,,3,2,110,19-Mar-20,"Nitrogen fertilizer use in agriculture is associated with water pollution and greenhouse gas emissions. While practices and programs to reduce nitrogen fertilizer application continue to be developed, inefficient fertilizer use persists and little is known about farmer decision-making regarding application rates. The purpose of this study was to explore farmer decision-making in the context of reducing the application of nitrogen fertilizer as a climate change mitigation strategy and to assess barriers to reduced application and participating in a potential offsets program. Research methods included mail surveys, interviews, and focus groups with corn farmers in Michigan, United States (US). Results indicate that potential barriers to increasing nitrogen use efficiency for climate change mitigation include: perceptions about climate change, limited access to information and technological tools, and constraints imposed by the political economy of US agriculture. Education programs, government subsidies or cost-sharing programs, and including influential market and political actors in discussions about fertilizer use and climate change mitigation may address some of these barriers. Policies and programs focused on nitrogen fertilizer use and climate change mitigation in agriculture should be aware of these barriers and how they might be addressed.",
grant.3105229,928388,Soil carbon sensitivity to temperature and carbon use efficiency compared across microbial-ecosystem models of varying complexity,2014,J. Li et al. ,Biogeochemistry,,3,3,76,19-Mar-20,"Global ecosystem models may require microbial components to accurately predict feedbacks between climate warming and soil decomposition, but it is unclear what parameters and levels of complexity are ideal for scaling up to the globe. Here we conducted a model comparison using a conventional model with first-order decay and three microbial models of increasing complexity that simulate short- to long-term soil carbon dynamics. We focused on soil carbon responses to microbial carbon use efficiency (CUE) and temperature. Three scenarios were implemented in all models: constant CUE (held at 0.31), varied CUE (−0.016 °C−1), and 50 % acclimated CUE (−0.008 °C−1). Whereas the conventional model always showed soil carbon losses with increasing temperature, the microbial models each predicted a temperature threshold above which warming led to soil carbon gain. The location of this threshold depended on CUE scenario, with higher temperature thresholds under the acclimated and constant scenarios. This result suggests that the temperature sensitivity of CUE and the structure of the soil carbon model together regulate the long-term soil carbon response to warming. Equilibrium soil carbon stocks predicted by the microbial models were much less sensitive to changing inputs compared to the conventional model. Although many soil carbon dynamics were similar across microbial models, the most complex model showed less pronounced oscillations. Thus, adding model complexity (i.e. including enzyme pools) could improve the mechanistic representation of soil carbon dynamics during the transient phase in certain ecosystems. This study suggests that model structure and CUE parameterization should be carefully evaluated when scaling up microbial models to ecosystems and the globe.",
grant.3029244,216560,Agrarian legacy in soil nutrient pools of urbanizing arid lands,2006,D.B. Lewis,Global Change,,3,3,57,19-Mar-20,"Today's worldwide expansion of dry land cities consumes cultivated and native ecosystems, providing laboratories for investigating imprints of former land use in places where people now live. Around Phoenix, USA, we compared soil nutrient pools in residential yards converted from farms with nutrient pools in yards developed on native desert. Organic matter, carbon (C), nitrogen (N), and soluble ions were >2‐fold greater in yards that were previously agrarian than in yards that were not. These pools remain elevated 40 years after land conversion to residential use. Present N accumulation (1.5 g m−2 yr−1) is not affected by prior land use, suggesting that rates of residential fertilizer application and retention are not affected by antecedent soil fertility. Bioavailable, inorganic phosphorus (Pav) is elevated in soil with a recent agrarian past, but this signal disappears after 10–30 years of residential use owing to an accumulation of Pav in never‐farmed yards. Our results indicate a ‘direct agrarian legacy,’ wherein agrarian amendment of nutrient pools endures urbanization, more so than an ‘indirect legacy,’ wherein present land management is molded by former land use. Agriculture in dry lands thus sequesters material in soils, and—as we also found higher material contents in residential soils than in contemporary agrarian soils—residential land use simply adds to the agrarian legacy these soils already bear. Intense human use of arid lands may cause increases in material pools in soils, a condition with potential global consequence.",
grant.3029244,216560,Shaping global environmnetal decisions using socio-ecological models,2006,H.M. Tallis and P. Kareiva,Trends in Ecology and Evolution ,,1,2,82,19-Mar-20,"One of the most ambitious ecological studies of the past few decades was the Millennium Ecosystem Assessment (MA), which examined the consequences of ecosystem change for human well-being. The MA developed global ecological scenarios as a process to inform policy options, despite enormous uncertainties. These scenarios were based on an interlocking suite of models that forecast the future. Following the recent completion and publication of the MA, there is now movement towards making the value of ecosystem services an integral part of key policy decisions. Here, we review the MA approach and suggest areas where immediate progress can be made to increase the likelihood that decision-makers will embrace the vision of assessments such as the MA.",
grant.3029244,216560,Closing the gap between risk estimation and decision making: efficient management of trade-related invasive species risk,2013,R.P. Lieli and M. Springborn,Review of Economics and Statistics,,1,1,13,19-Mar-20,"This paper examines the implications of a binary action, binary outcome decision problem for estimating risk. We use data on the invasiveness of biological imports to develop the first comparison of two classical methods—maximum likelihood and Bayesian—against a third, the recently developed maximum utility (MU) approach. MU estimation uniquely takes advantage of the structure of the decision problem, which depends on a local rather than global fit to the model. Extending methods to account for an endogenously stratified sample, we show that the MU approach is less sensitive to specification error and can offer significant economic gains under model uncertainty.",
grant.3037336,308493,"It's Not that Simple: A Collaborative Comparison of Sea Ice Environments, Their Uses, Observed Changes, and Adaptations in Barrow, Alaska, USA, and Clyde River, Nunavut, Canada",2006,S. Gearheard et al. ,Ambio,,1,1,154,19-Mar-20,"The Arctic environment, including sea ice, is changing. The impacts of these changes to Inuit and Iñupiat ways of life vary from place to place, yet there are common themes as well. The study reported here involved an exchange of hunters, Elders, and others from Barrow, Alaska, USA, and Clyde River, Nunavut, Canada, as members of a larger research team that also included visiting scientists. Although the physical environments of Barrow and Clyde River are strikingly different, the uses of the marine environment by residents, including sea ice, had many common elements. In both locations, too, extensive changes have been observed in recent years, forcing local residents to respond in a variety of ways. Although generally in agreement or complementary to one another, scientific and indigenous knowledge of sea ice often reflect different perspectives and emphases. Making generalizations about impacts and responses is challenging and should therefore be approached with caution. Technology provides some potential assistance in adapting to changing sea ice, but by itself, it is insufficient and can sometimes have undesirable consequences. Reliable knowledge that can be applied under changing conditions is essential. Collaborative research and firsthand experience are critical to generating such new knowledge.",
grant.3037337,308493,Bridging perspectives from remote Sensing and Inuit communities on changing Sea-ice cover in the Baffin Bay region,2006,W.N. Meier,Annals of Glaciology,,1,1,28,25-Mar-20,"Passive microwave imagery indicates a decreasing trend in Arctic Summer Sea-ice extent Since 1979. The Summers of 2002–05 have exhibited particularly reduced extent and have reinforced the downward trend. Even the winter periods have now Shown decreasing trends. At the local level, Arctic residents are also noticing changes in Sea ice. In particular, indigenous elders and hunters report changes Such as earlier break-up, later freeze-up and thinner ice. The changing conditions have profound implications for Arctic-wide climate, but there is also regional variability in the extent trends. These can have important ramifications for wildlife and indigenous communities in the affected regions. Here we bring together observations from remote Sensing with observations and knowledge of Inuit who live in the Baffin Bay region. Weaving the complementary perspectives of Science and Inuit knowledge, we investigate the processes driving changes in Baffin Bay Sea-ice extent and discuss the present and potential future effects of changing Sea ice on local activities.",
grant.2992744,410437,Fleet dynamics and fishermen behavior: lessons for fisheries managers,2006,"Branch, TA; Hilborn, R; Haynie, AC; Fay, G; Flynn, L; Griffiths, J; Marshall, KN; Randall, JK; Scheuerell, JM; Ward, EJ; Young, M.",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1,2,1,325,25-Mar-20,"We review fleet dynamics and fishermen behavior from an economic and sociological basis in developing fisheries, in mature fisheries near full exploitation, and in senescent fisheries that are overexploited and overcapitalized. In all cases, fishing fleets behave rationally within the imposed regulatory structures. Successful, generalist fishermen who take risks often pioneer developing fisheries. At this stage, regulations and subsidies tend to encourage excessive entry and investments, creating the potential for serial depletion. In mature fisheries, regulations often restrict season length, vessel and gear types, fishing areas, and fleet size, causing or exacerbating the race for fish and excessive investment, and are typically unsuccessful except when combined with dedicated access privileges (e.g., territorial rights, individual quotas). In senescent fisheries, vessel buyback programs must account for the fishing power of individuals and their vessels. Subsidies should be avoided as they prolong the transition towards alternative employment. Fisheries managers need to create individual incentives that align fleet dynamics and fishermen behavior with the intended societal goals. These incentives can be created both through management systems like dedicated access privileges and through market forces.",More than 10 citations - randomly selected 10
grant.2992744,410437,Managing fisheries is managing people: what has been learned?,2007,"Hilborn, R.",FISH AND FISHERIES,1,1,1,273,26-Mar-20,"Understanding the behaviour of fishermen is a key ingredient to successful fisheries management. The aggregate behaviour of fishing fleets can be predicted and managed with appropriate incentives. To determine appropriate incentives, we should look to successes to learn what works and what does not. In different fisheries incentive systems have been found to reduce the race‐for‐fish and make fisheries profitable, to stimulate stock rebuilding, to reduce bycatch, and to provide for reductions in illegal fishing. Yet, success can be evaluated in many dimensions, but is, in fact, rarely done – per cent overfished seems to be the dominant measure of performance. I evaluate the yield lost due to overfishing in several ecosystems and contrast the situation of North Atlantic cod where considerable yield is lost, to fisheries in New Zealand and the west coast of the USA where lost yield due to overfishing is very small. Much more systematic evaluation of the other aspects of fisheries performance is greatly needed. From examples explored in this paper I conclude that prevention of overfishing can be achieved with strong central governments enforcing conservative catch regulations, but economic success appears to require an appropriate incentive structure.",More than 10 citations - randomly selected 10
grant.2992744,410437,Biodiversity loss in the ocean: How bad is it?,2007,"Hilborn, RW",SCIENCE,2,2,2,59,26-Mar-20,"The Research Article Impacts of biodiversity loss on ocean ecosystem services By B. Worm et al.(3 Nov. 2006, p. 787) projects that 100 of seafood-producing species stocks will collapse by 2048. The projection is inaccurate and overly pessimistic. Worm et al. define collapse as occurring when the current year's catch is <10 of the highest observed in a stock's time series. However, fish catch is rarely an adequate proxy for fish abundance, particularly for rebuilding stocks under management. A variety of biological, economic, and social factors and management decisions determine catches; low catches may occur even when stocks are high (e.g., due to low fish prices or the effects of restrictive management practices), and vice versa. The inadequacy of Worm et al.'s abundance proxy is illustrated by the time series of data for Georges Bank haddock (Melanogrammus aeglefinus). The highest catch for haddock occurred in 1965 at 150,362 tons (1). This catch occurred during a period of intense domestic and international fishing (1). In 2003, haddock catch was 12,576 tons, or 8 of the time series maximum. Under the Worm et al. definition, the stock would be categorized as collapsed in 2003. However, stock assessment data (1) estimate the total magnitude of the spawning biomass in 2003 to be 91 of that in 1965. Comparing the estimate of spawning stock biomass in 2003 to the level producing maximum sustainable yield (MSY), the stock was not even being overfished in 2003 (2). Because adequate stock abundance measures exist for only a portion of world fish stocks, this purported worldwide meta analysis required using data that represent the lowest common denominator of datathe total magnitude of the catch. However, if the catch ratio metric is so prone to misrepresentation of the true status of populations, as illustrated above, a synthesis of world fisheries based on these data is equally flawed. At the least, the authors should have conducted a calibration of their stock collapse metric with more complete stock abundance data available from the many worldwide sources where such data exist.",More than 10 citations - randomly selected 10
