Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric.OG,CNH Rubric 2,Interdis Rubric 1,Citations,date for cite count,Abstract,Notes,,,,,,,,,,,,,,,,,
grant.2992741,410336,Optimal Land Development with Endogenous Environmental Amenities,2008,Wu and Irwin,American Journal Agricultural Economics,1,1,2,33,1Apr20,"A spatially explicit model of the optimal timing and location of land development is presented that incorporates dynamic interactions between land development and water quality. Ignoring two‐way interactions leads to a lower level of water quality, more development, and lower social welfare. The optimal pace and pattern of development can be achieved through the assessment of an impact fee that internalizes pollution damages and irreversibility costs. Our results demonstrate the importance of accounting for the spatial dimension of land use, the interdependence between land use and environmental quality, and development irreversibility in models of urbanization and amenity‐driven growth.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992741,410336,Spatial characteristics of exurban settlement pattern in the U.S,2009,Clark et al. ,Landscape and Urban Planning,3,3,3,134,2Apr20,"Despite pervasive exurban development in the United States (US) over the last several decades, a lack of relatively precise data has hindered basic research, including classification of the types of emerging exurban settlement patterns. But because exurbia transcends the traditional dichotomy of urban versus rural and metropolitan versus nonmetropolitan, standard census data are of limited value in analyzing these regions. To address this gap, we made use of a spatially explicit population database to indentify and examine the configuration of exurban settlement. We developed a multidimensional spatial patch index, which captures the variation exurban settlement across the landscape, along the lines of shape, size and contiguity typology of exurban patches. This index reveals substantial heterogeneity in fine-scale pattern not reflected by aggregate measures of exurban settlement density. Using this index, we then explored to what extent metropolitan characteristics commonly believed to influence urban decentralization also are associated with the configuration of decentralization. We find that while large, contiguous clumps of exurban settlement are correlated with these metropolitan characteristics, other exurban pattern types (such as isolated or linear patches) are not. Therefore, it appears that the factors that contribute to more urban decentralization may also lead to greater contiguity and concentration of exurban settlement. Additionally, we find that the processes that lead to isolated and dispersed exurban settlement may be different from those that foster contiguous, concentrated exurban settlement.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992741,410336,Spatial variance and spatial skewness: Leading indicators of regime shifts in spatial ecological systems,2009,Guttal and Jayaprakash,Theoretical Ecology,3,3,3,190,2Apr20,"Ecosystems can undergo large-scale changes in their states, known as catastrophic regime shifts, leading to substantial losses to services they provide to humans. These shifts occur rapidly and are difficult to predict. Several early warning signals of such transitions have recently been developed using simple models. These studies typically ignore spatial interactions, and the signal provided by these indicators may be ambiguous. We employ a simple model of collapse of vegetation in one and two spatial dimensions and show, using analytic and numerical studies, that increases in spatial variance and changes in spatial skewness occur as one approaches the threshold of vegetation collapse. We identify a novel feature, an increasing spatial variance in conjunction with a peaking of spatial skewness, as an unambiguous indicator of an impending regime shift. Once a signal has been detected, we show that a quick management action reducing the grazing activity is needed to prevent the collapse of vegetated state. Our results show that the difficulties in obtaining the accurate estimates of indicators arising due to lack of long temporal data can be alleviated when high-resolution spatially extended data are available. These results are shown to hold true independent of various details of model or different spatial dispersal kernels such as Gaussian or heavily fat tailed. This study suggests that spatial data and monitoring multiple indicators of regime shifts can play a key role in making reliable predictions on ecosystem stability and resilience.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992741,410336,Gloom and blooms: simulating phytoplankton growth moving out of a tributary into a large lake,2008,Conroy et al. ,Verhandlungen der Internationale Vereiningung fÃ?Â¼r Theoretische und Angewandte Limnologie,3,3,3,4,2Apr20,"Most studies of large lake trophic dynamics simply consider within-lake processes. For exampe, the classic eutrophication models modeled lower trophic level (e.g., chlorophyll a concentration [Chl-a]) relationships to nutrient dynamics (e.g., total phosphorus concentrations) as direct linear regressions or as linear regressions with time lages (OECD 1982). If tributaries were considered at all, they were modeled only as nutrient sources (OECD 1982) and lacked a biological load factor. Treating tributaries solely as nutrient sources is not restricted to studies to studies performed decades ago. Even recent, well-cited studies restirct tributaries to serving as aseptic nutrient inputs to a lacustrine chemostat (see Fig. 1 in Carpenter et al. 1998), even though tirbutaries contain particulate matter including phytoplankon (Malmaeus & Hakanson 2003). Coastal marine studies recognize the important role of tributaries as particle sources and emphasize their study to better understand offshore processes (Rabalais et al. 1996, Paerl et al. 1998). ",More than 10 citations - randomly selected 10; no abstract - using the first paragraph of the article instead,,,,,,,,,,,,,,,,,
grant.2992741,410336,Measuring the amount and pattern of land development in non-urban areas,2007,Irwin et al. ,Review of Agricultural Economics,2,2,2,24,2Apr20,"Recent trends in the development of rural land have lead to renewed public concerns regarding decentralized development, fragmented land use patterns, and loss of farmland. These concerns are focused on exurban regions that may be largely rural, but fall within the shadow of urban and suburban areas and have experienced increasing transitions of land from rural to urban uses. For many years, researchers either ignored or dismissed exurban development,1 because data limitations hid its prevalence and because these outer areas contained relatively few people. In recent years, though, the stature and importance of “exurbs” have grown due to the recognition that these rapidly expanding areas have major implications for land use.",More than 10 citations - randomly selected 10; no abstract - using the first paragraph of the article instead,,,,,,,,,,,,,,,,,
grant.2992741,410336,Self-Organization and productivity in semi-arid ecosystems: Implications of seasonality in rainfall,2007,Guttal and Jayaprakash,Journal of Theoretical Biology,3,3,3,71,2Apr20,"Spatial self-organization including striking vegetation patterns observed in arid ecosystems has been studied in models with uniform rainfall. In this paper, we present a fully seasonal rainfall model that produces vegetation patterns found in nature by including the natural adaptation of plants to scarcity of water and the consequent seasonal variation in their growth and metabolic rate. We present results for the mean-field and spatially extended versions of the model. We find that the patterns depend on the duration of the wet season even with fixed total annual precipitation (PPT) showing how seasonality affects spatial self-organization. We observe that the productivity can vary for fixed PPT as a function of the duration thereby providing another source of observed variations. We compute the maximum vegetation cover as function of PPT and find that the behavior is consistent with observations. We comment on the implications for regime shifts due to increased interannual fluctuations caused by climatic changes. Our specific model calculations provide more general conclusions for ecosystems with competition for scarce resources due to seasonal variations in the resource, especially for self-organization and productivity.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992741,410336,Impact of Noise in Bistable Ecological Systems,2007,Guttal and Jayaprakash,Ecological Modelling,1,3,3,100,1Apr20,"The existence and implications of alternative stable states in 
ecological systems have been studied extensively within deterministic 
models. In this paper, we study the influence of random fluctuations in 
environmental parameters (e.g. nutrient input and rainfall) on the 
behavior of two simple bistable, ecological models with a single 
dynamical variable. We describe the changes in the bifurcation diagram 
of the bistable system: we find that the region of bistability is 
reduced for small amounts of noise while for noise beyond a critical 
width bistability vanishes completely. In the regime where bistability 
is eliminated by the noise, the time series of the solution shows that 
the system can undergo frequent catastrophic regime shifts. We also 
discuss how some of the results depend on model-specific details. We 
comment on the robustness of our results to changes in the noise 
characteristics and the implications for modeling real systems.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992741,410336,Comparison of empirical methods for building agent-based models in land use science,2007,Robinson et al. ,Journal of Land Use Science,1,1,1,276,2Apr20,"The use of agent-based models (ABMs) for investigating land-use science questions has been increasing dramatically over the last decade. Modelers have moved from ‘proofs of existence’ toy models to case-specific, multi-scaled, multi-actor, and data-intensive models of land-use and land-cover change. An international workshop, titled ‘Multi-Agent Modeling and Collaborative Planning—Method2Method Workshop’, was held in Bonn in 2005 in order to bring together researchers using different data collection approaches to informing agent-based models. Participants identified a typology of five approaches to empirically inform ABMs for land use science: sample surveys, participant observation, field and laboratory experiments, companion modeling, and GIS and remotely sensed data. This paper reviews these five approaches to informing ABMs, provides a corresponding case study describing the model usage of these approaches, the types of data each approach produces, the types of questions those data can answer, and an evaluation of the strengths and weaknesses of those data for use in an ABM.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992741,410336,A two-dimensional ecological model of Lake Erie: Application to estimate dreissenid impacts on large lake plankton populations,2008,Zhang et al. ,Ecological Modelling,2,3,3,89,2Apr20,"We constructed a complex ecological model of Lake Erie, EcoLE, based on a two-dimensional hydrodynamic and water quality model (CE-QUAL-W2). We used data from 1997 to calibrate the model, and data from 1998 and 1999 to verify it. The simulated surface and bottom water temperatures show good agreement with field observations. In spite of limitations of this 2D model and data availability, the simulated values of biological and nutrient state variables match well with field measurements. Although EcoLE's performance for the verification years is as good as that of the calibration year, the wide standard deviations of both field measurements and model simulations as well as the complexity of an ecosystem of this size make us consider our model more as a valid analytical tool rather than a predictive one at this moment. Nevertheless, we have constructed the first fine-scale dynamic ecological model of a large lake that couples hydrodynamics and detailed food web of lower trophic levels and is driven by real-time air temperature and wind conditions and the inputs from the atmosphere and tributaries. Using the model we investigate the impacts of zebra mussels (Dreissena polymorpha) and quagga mussels (D. bugensis) on phytoplankton of Lake Erie. The simulation results show that dreissenid grazing impacts on non-diatom edible algae (NDEA) are weakened by the boundary layer above the basin bottom. However, dreissenid grazing impacts on diatoms are less affected by the boundary layer due to the higher sinking rates of diatoms. Dreissenid mussels increase non-diatom inedible algae (NDIA) rapidly with increasing mussel population size, because the dreissenid population excretes a large amount of ammonia and phosphate. Our results indicate that dreissenid mussels have weak direct grazing impacts on algal biomass, while indirect effects of their nutrient excretion have a greater impact on the system.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992741,410336,Vertical mixing and weak stratification overe zebra mussel colonies in western Lake Erie,2008,Boegman et al. ,Limnology and Oceanography,2,3,3,86,1Apr20,"Zebra mussels (Dreissena polymorpha) are an invasive species that
 have been implicated in the reduction of algae stocks in the near‐shore
 environment of western Lake Erie. To determine their basin‐wide 
effects, we applied a two‐dimensional  hydrodynamic and water‐quality 
model for 1994. The model accurately reproduced lake‐wide hydrodynamics 
and water quality. When modeled as true benthic organisms (resting on 
the bottom), the dreissenids grazed 53% of the western basin May through
 September net algal growth. This grazing resulted in a ~0.1‐mg L‐1
 reduction in the pelagic algae concentration relative to the case 
without dreissenids. In comparison, dreissenids grazed 77% western basin
 net algal growth when the lake was modeled as a fully mixed water 
column. We found that the biomass grazed was governed by a balance 
between the timescales of vertical wind‐induced mixing and benthic 
grazing. During calm conditions, weak diurnal stratification (~1°C 
between surface and bottom waters) was sufficient to suppress vertical 
mixing, when the mean daily wind speed 4 m above the lake surface (U4) was ~6 m s‐1
 . These conditions allowed a concentration boundary layer ~1 m thick to
 form, accounting for the reduced grazing effect relative to the fully 
mixed case. Entrainment of the concentration boundary layer occurred for
 U4>6 m s‐1  (associated with the lake's characteristic 
10‐d storm cycle) facilitating algae supply to the benthos. We 
formulated the mean daily biomass grazed in terms of the dreissenid areal pumping rate (a) and U4 and found that because typically U4 is ~6 m s‐1 , the western basin is weakly stratified thermally and a concentration boundary layer forms when U4<3α or α>2 m3 m‐2 d‐1
 . The dynamics of both wind‐mixing and thermal stratification must, 
therefore, be considered in mixing models applied to shallow weakly 
stratified lake basins.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
